City Name,Income,CPI
ATLANTA,43026,225.46
BALTIMORE,47168,157.18
BOSTON,56814,260.5
CHICAGO,47242,229.3
COLUMBIA,40422,240
DALLAS,46858,220.68
DETROIT,44547,222.17
LOS ANGELES,42535,249.25
MIAMI,42811,250
NEW YORK,48600,263.37
PHILADELPHIA,49321,245.29
SAN FRANSISCO,59603,266.34
ST LOUIS,49598,221.08
